"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 18:00:35 UTC 2023","Tue Dec 26 18:00:48 UTC 2023","12910","webkit","login.spec.js","Login testing","","","Correct login with valid credentials",""
"failed","Tue Dec 26 18:03:12 UTC 2023","Tue Dec 26 18:03:43 UTC 2023","30495","webkit","registration.spec.js","Registration testing","","","New account registration with incorrect user data format",""
"failed","Tue Dec 26 17:59:27 UTC 2023","Tue Dec 26 17:59:58 UTC 2023","30992","firefox","registration.spec.js","Registration testing","","","New account registration with incorrect user data format",""
"failed","Tue Dec 26 18:04:08 UTC 2023","Tue Dec 26 18:04:17 UTC 2023","9882","webkit","registration.spec.js","Registration testing","","","New account registration with empty required fields",""
"passed","Tue Dec 26 17:54:47 UTC 2023","Tue Dec 26 17:54:51 UTC 2023","4319","chromium","registration.spec.js","Registration testing","","","New account registration with valid credentials",""
"passed","Tue Dec 26 17:53:33 UTC 2023","Tue Dec 26 17:53:38 UTC 2023","4910","chromium","login.spec.js","Login testing","","","Correct login with valid credentials",""
"failed","Tue Dec 26 17:57:50 UTC 2023","Tue Dec 26 17:58:14 UTC 2023","24031","firefox","login.spec.js","Login testing","","","Login with empty required fields",""
"passed","Tue Dec 26 17:58:15 UTC 2023","Tue Dec 26 17:58:21 UTC 2023","5904","firefox","registration.spec.js","Registration testing","","","New account registration with valid credentials",""
"failed","Tue Dec 26 17:54:23 UTC 2023","Tue Dec 26 17:54:45 UTC 2023","21991","chromium","login.spec.js","Login testing","","","Login with empty required fields",""
"failed","Tue Dec 26 18:01:36 UTC 2023","Tue Dec 26 18:02:00 UTC 2023","24434","webkit","login.spec.js","Login testing","","","Login with empty required fields",""
"failed","Tue Dec 26 17:56:46 UTC 2023","Tue Dec 26 17:56:53 UTC 2023","7637","chromium","registration.spec.js","Registration testing","","","New account registration with empty required fields",""
"passed","Tue Dec 26 17:56:54 UTC 2023","Tue Dec 26 17:57:01 UTC 2023","6943","firefox","login.spec.js","Login testing","","","Correct login with valid credentials",""
"failed","Tue Dec 26 17:55:55 UTC 2023","Tue Dec 26 17:56:25 UTC 2023","30225","chromium","registration.spec.js","Registration testing","","","New account registration with incorrect user data format",""
"failed","Tue Dec 26 18:00:23 UTC 2023","Tue Dec 26 18:00:35 UTC 2023","12136","firefox","registration.spec.js","Registration testing","","","New account registration with empty required fields",""
"passed","Tue Dec 26 18:02:02 UTC 2023","Tue Dec 26 18:02:08 UTC 2023","6385","webkit","registration.spec.js","Registration testing","","","New account registration with valid credentials",""
